id,title,organization,domain,location,mode,duration_weeks,required_skills,description,eligibility_level
1,AI/ML Research Intern,National AI Research Institute,Data Science,Remote,Online / Remote,8,"Python; Machine Learning; Data Analysis; Statistics","Research and develop ML models for government policy analytics and pilot projects.","Postgraduate"
2,Full Stack Web Development Intern,Govt Digital Services,Web Development,Delhi,Hybrid,12,"JavaScript; HTML; CSS; Python; REST APIs","Build and maintain secure internal web portals for various ministries and departments.","Undergraduate"
3,Cybersecurity Analyst Intern,Cyber Security Centre,Cyber Security,New Delhi,On-site,10,"Network Security; Linux; Vulnerability Assessment; Reporting","Assist in security audits, basic SOC monitoring and vulnerability assessments for e-Governance systems.","Undergraduate"
4,Cloud Infrastructure Intern,Govt Cloud Services,Cloud / DevOps,Hyderabad,Hybrid,8,"Cloud Computing; Linux; Bash; CI/CD","Support deployment and monitoring of applications on the National Government Cloud platform.","Undergraduate"
5,Data Analysis Intern,Ministry of Statistics & Programme Implementation,Data Science,Remote,Online / Remote,12,"Excel; SQL; Data Cleaning; Visualization","Work on national survey datasets, creating dashboards and statistical summaries for decision makers.","Undergraduate"
6,Backend API Development Intern,National Data Centre,Web Development,Pune,Hybrid,10,"Python; Flask; REST APIs; Databases","Design and implement RESTful APIs for citizen‑centric digital services.","Undergraduate"
7,Mobile App Development Intern,Ministry of Electronics & IT,Mobile Development,Bangalore,On-site,10,"Android; Kotlin; UI Design; APIs","Develop and test citizen‑facing Android applications for government schemes.","Undergraduate"
8,DevOps Engineer Intern,IT Infrastructure Division,Cloud / DevOps,Delhi,On-site,8,"Docker; Git; Linux; Monitoring","Assist DevOps team with CI/CD pipelines, containerization and basic infrastructure monitoring.","Undergraduate"
9,Smart Cities Data Intern,Smart Cities Mission,Data Science,Remote,Online / Remote,12,"Python; GIS; Data Visualization; Excel","Analyse urban mobility and infrastructure datasets to support Smart City planning.","Postgraduate"
10,E-Governance Web Intern,Rural Development Department,Web Development,Raipur,On-site,12,"HTML; CSS; JavaScript; Accessibility","Improve usability and accessibility of rural scheme information portals.","Undergraduate"
11,Public Health Research Intern,National Institute of Public Health,Medical Research,Delhi,On-site,8,"Epidemiology; Data Analysis; Report Writing","Assist in epidemiological studies, health‑survey data cleaning and drafting research briefs.","Undergraduate"
12,Community Health Outreach Intern,State Health Mission,Raipur,Hybrid,6,"Health Education; Communication; Field Work","Support village‑level health awareness campaigns and basic screenings under supervision.","Undergraduate"
13,Hospital Administration Intern,Government Medical College & Hospital,MHealthcare Management,Mumbai,On-site,12,"Hospital Management; MS Office; Coordination","Assist in OPD/IPD coordination, patient flow management and administrative reporting.","Undergraduate"
14,Clinical Data Management Intern,National Clinical Trials Registry,Medical Research,Remote,Online / Remote,10,"Clinical Terminology; Data Entry; Attention to Detail","Maintain clinical trial records, perform data quality checks and assist in regulatory summaries.","Postgraduate"
15,Pharmaceutical Research Intern,Central Government Pharma Lab,Medical Research,Hyderabad,On-site,12,"Pharmacology; Laboratory Skills; Documentation","Participate in formulation research, stability studies and technical report preparation.","Postgraduate"
16,Healthcare Policy Intern,Ministry of Health & Family Welfare,Healthcare Management,New Delhi,Hybrid,8,"Policy Analysis; Public Health; Report Writing","Review health‑scheme performance, compile evidence and support policy note drafting.","Postgraduate"
17,Nutrition & Dietetics Intern,National Nutrition Mission,Nutrition & Dietetics,Chennai,On-site,6,"Nutrition; Counselling; Record Keeping","Provide basic nutritional counselling at community centres and document beneficiary progress.","Undergraduate"
18,Mental Health Programme Intern,District Mental Health Programme,Healthcare Management,Bangalore,Hybrid,8,"Psychology; Counselling Skills; Communication","Assist in awareness drives, patient follow‑up and documentation for mental‑health initiatives.","Postgraduate"
19,Financial Analysis Intern,Ministry of Finance – Budget Division,Finance & Accounting,New Delhi,On-site,8,"Accounting; Excel; Financial Analysis; Reporting","Support analysis of budget statements, expenditure trends and preparation of financial briefs.","Undergraduate"
20,Banking Operations Intern,Public Sector Bank – Regional Office,Banking & Finance,Kolkata,On-site,6,"Customer Service; MS Office; Numerical Aptitude","Gain exposure to branch operations, customer service and basic loan and account processing.","Undergraduate"